Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,LotFrontage_nan,MasVnrArea_nan,GarageYrBlt_nan
11,20,3,70.0,11200,1,2,0,1,1,0,0,6,4,4,4,5,5,5,1965,1965,4,2,8,9,1,0.0,1,3,2,2,3,1,1,906,5,0,134,1040,5,4,1,5,1040,0,0,1040,1,0,1,0,3,1,1,5,6,0,1,2,1965.0,1,1,384,3,5,2,0,0,0,0,0,0,0,4,3,0,2,2008,4,4,129500,0,0,0
12,60,3,85.0,11924,1,2,1,1,1,0,0,23,4,4,4,6,9,5,2005,2006,4,2,6,8,4,286.0,3,3,5,4,3,1,6,998,5,0,177,1175,5,4,1,5,1182,1142,0,2324,1,0,3,0,4,1,3,11,6,2,4,6,2005.0,3,3,736,3,5,2,147,21,0,0,0,0,0,4,3,0,7,2006,8,5,345000,0,0,0
13,20,3,69.0,12968,1,2,3,1,1,0,0,6,4,4,4,5,5,6,1962,1962,4,2,8,10,1,0.0,1,3,2,2,3,1,4,737,5,0,175,912,5,2,1,5,912,0,0,912,1,0,1,0,2,1,1,4,6,0,1,2,1962.0,1,1,352,3,5,2,140,0,0,0,176,0,0,4,3,0,9,2008,4,4,144000,1,0,0
14,20,3,91.0,10652,1,2,1,1,1,0,0,16,4,4,4,5,7,5,2006,2007,1,2,11,12,4,306.0,2,3,5,3,3,3,5,0,5,0,1494,1494,5,4,1,5,1494,0,0,1494,0,0,2,0,3,1,2,7,6,1,4,5,2006.0,2,3,840,3,5,2,160,33,0,0,0,0,0,4,3,0,8,2007,8,5,279500,0,0,0
15,20,3,69.0,10920,1,2,1,1,1,2,0,10,4,4,4,5,6,5,1960,1960,4,2,4,5,2,212.0,1,3,2,2,3,1,2,733,5,0,520,1253,5,2,1,5,1253,0,0,1253,1,0,1,1,2,1,1,5,6,1,2,5,1960.0,2,1,352,3,5,2,0,213,176,0,0,0,0,1,3,0,5,2008,4,4,157000,1,0,0
16,45,1,51.0,6120,1,2,0,1,1,2,0,3,4,4,4,0,7,8,1929,2001,1,2,5,4,1,0.0,1,3,1,2,3,1,5,0,5,0,832,832,5,4,1,3,854,0,0,854,0,0,1,0,2,1,1,5,6,0,1,2,1991.0,1,2,576,3,5,2,48,112,0,0,0,0,0,3,3,0,7,2007,4,4,132000,0,0,0
17,20,3,69.0,11241,1,2,1,1,1,4,0,10,4,4,4,5,6,7,1970,1970,1,2,5,4,2,180.0,1,3,2,2,3,1,4,578,5,0,426,1004,5,4,1,5,1004,0,0,1004,1,0,1,0,2,1,1,5,6,1,3,5,1970.0,3,2,480,3,5,2,0,0,0,0,0,0,0,4,1,700,3,2010,4,4,149000,1,0,0
18,90,3,72.0,10791,1,2,0,1,1,0,0,6,4,4,1,5,4,5,1967,1967,1,2,4,5,1,0.0,1,3,0,0,1,0,0,0,0,0,0,0,5,2,1,5,1296,0,0,1296,0,0,2,0,2,2,1,6,6,0,1,1,1967.0,1,2,516,3,5,2,0,0,0,0,0,0,0,4,1,500,10,2006,4,4,90000,0,0,0
19,20,3,66.0,13695,1,2,0,1,1,0,0,12,1,4,4,5,5,5,2004,2004,1,2,11,12,1,0.0,1,3,5,2,3,1,6,646,5,0,468,1114,5,4,1,5,1114,0,0,1114,1,0,1,1,3,1,2,6,6,0,1,2,2004.0,1,2,576,3,5,2,0,102,0,0,0,0,0,4,3,0,6,2008,4,4,159000,0,0,0
20,20,3,70.0,7560,1,2,0,1,1,0,0,10,4,4,4,5,5,6,1958,1965,4,2,10,10,1,0.0,1,3,2,2,3,1,3,504,5,0,525,1029,5,2,1,5,1339,0,0,1339,0,0,1,0,3,1,1,6,3,0,1,5,1958.0,1,1,294,3,5,2,0,0,0,0,0,0,0,2,3,0,5,2009,3,1,139000,0,0,0
21,60,3,101.0,14215,1,2,1,1,1,2,0,23,4,4,4,6,8,5,2005,2006,1,2,11,12,2,380.0,2,3,5,4,3,3,5,0,5,0,1158,1158,5,4,1,5,1158,1218,0,2376,0,0,3,1,4,1,2,9,6,1,4,6,2005.0,2,3,853,3,5,2,240,154,0,0,0,0,0,4,3,0,11,2006,8,5,325300,0,0,0
22,45,1,57.0,7449,1,0,0,0,1,0,0,1,4,4,4,0,7,7,1930,1950,1,2,5,4,1,0.0,1,3,5,2,3,1,5,0,5,0,637,637,5,4,1,2,1108,0,0,1108,0,0,1,0,3,1,2,6,6,1,4,5,1930.0,1,1,280,3,5,0,0,0,205,0,0,0,0,3,3,0,6,2007,4,4,139400,0,0,0
23,20,3,75.0,9742,1,2,0,1,1,0,0,16,4,4,4,5,8,5,2002,2002,4,2,11,12,2,281.0,2,3,5,3,3,1,5,0,5,0,1777,1777,5,4,1,5,1795,0,0,1795,0,0,2,0,3,1,2,7,6,1,4,5,2002.0,2,2,534,3,5,2,171,159,0,0,0,0,0,4,3,0,9,2008,4,4,230000,0,0,0
24,120,1,44.0,4224,1,2,0,1,1,0,0,0,4,4,3,5,5,7,1976,1976,1,2,12,13,1,0.0,1,3,5,3,3,1,6,840,5,0,200,1040,5,2,1,5,1060,0,0,1060,1,0,1,0,3,1,1,6,6,1,3,5,1976.0,1,2,572,3,5,2,100,110,0,0,0,0,0,4,3,0,6,2007,4,4,129900,0,0,0
25,20,3,69.0,8246,1,2,1,1,1,0,0,6,4,4,4,5,5,8,1968,2001,1,2,9,10,1,0.0,1,2,2,2,3,2,1,188,6,668,204,1060,5,4,1,5,1060,0,0,1060,1,0,1,0,3,1,2,6,6,1,3,5,1968.0,1,1,270,3,5,2,406,90,0,0,0,0,0,2,3,0,5,2010,4,4,154000,1,0,0
26,20,3,110.0,14230,1,2,0,1,1,2,0,23,4,4,4,5,8,5,2007,2007,1,2,11,12,4,640.0,2,3,5,3,3,1,5,0,5,0,1566,1566,5,4,1,5,1600,0,0,1600,0,0,2,0,3,1,2,7,6,1,4,5,2007.0,2,3,890,3,5,2,0,56,0,0,0,0,0,4,3,0,7,2009,4,4,256300,0,0,0
27,20,3,60.0,7200,1,2,0,1,1,2,0,10,4,4,4,5,5,7,1951,2000,1,2,5,4,1,0.0,1,3,2,2,3,2,2,234,3,486,180,900,5,2,1,5,900,0,0,900,0,1,1,0,3,1,2,5,6,0,1,2,2005.0,1,2,576,3,5,2,222,32,0,0,0,0,0,4,3,0,5,2010,4,4,134800,0,0,0
28,20,3,98.0,11478,1,2,0,1,1,0,0,23,4,4,4,5,8,5,2007,2008,1,2,11,12,4,200.0,2,3,5,4,3,1,6,1218,5,0,486,1704,5,4,1,5,1704,0,0,1704,1,0,2,0,3,1,2,7,6,1,4,5,2008.0,2,3,772,3,5,2,0,50,0,0,0,0,0,4,3,0,5,2010,4,4,306000,0,0,0
29,20,3,47.0,16321,1,2,1,1,1,4,0,10,4,4,4,5,5,6,1957,1997,1,2,4,5,1,0.0,1,3,2,2,3,4,2,1277,5,0,207,1484,5,2,1,5,1600,0,0,1600,1,0,1,0,2,1,1,6,6,2,4,5,1957.0,2,1,319,3,5,2,288,258,0,0,0,0,0,4,3,0,12,2006,4,4,207500,0,0,0
30,30,1,60.0,6324,1,2,1,1,1,0,0,3,2,0,4,5,4,6,1927,1950,1,2,4,5,1,0.0,1,3,1,2,3,1,5,0,5,0,520,520,5,1,0,5,520,0,0,520,0,0,1,0,1,1,0,4,6,0,1,2,1920.0,1,1,240,2,5,2,49,0,87,0,0,0,0,4,3,0,5,2008,4,4,68500,0,0,0
31,70,0,50.0,8500,1,1,0,1,1,0,0,1,2,4,4,6,4,4,1920,1950,0,2,10,11,1,0.0,1,1,1,2,3,1,5,0,5,0,649,649,5,2,0,5,649,668,0,1317,0,0,1,0,3,1,1,6,6,0,1,2,1920.0,1,1,250,3,2,0,0,54,172,0,0,0,0,2,3,0,7,2008,4,4,40000,0,0,0
32,20,3,69.0,8544,1,2,1,1,1,4,0,6,4,4,4,5,5,6,1966,2006,1,2,8,9,1,0.0,1,3,2,2,3,1,5,0,5,0,1228,1228,5,3,1,5,1228,0,0,1228,0,0,1,1,3,1,2,6,6,0,1,5,1966.0,1,1,271,3,5,2,0,65,0,0,0,0,0,2,3,0,6,2008,4,4,149350,1,0,0
33,20,3,85.0,11049,1,2,0,1,1,2,0,16,4,4,4,5,8,5,2007,2007,1,2,11,12,1,0.0,2,3,5,4,3,3,5,0,5,0,1234,1234,5,4,1,5,1234,0,0,1234,0,0,2,0,3,1,2,7,6,0,1,5,2007.0,2,2,484,3,5,2,0,30,0,0,0,0,0,4,3,0,1,2008,4,4,179900,0,0,0
34,20,3,70.0,10552,1,2,1,1,1,0,0,10,4,4,4,5,5,5,1959,1959,4,2,10,11,1,0.0,1,3,2,2,3,1,1,1018,5,0,380,1398,5,3,1,5,1700,0,0,1700,0,1,1,1,4,1,2,6,6,1,4,5,1959.0,2,2,447,3,5,2,0,38,0,0,0,0,0,4,3,0,4,2010,4,4,165500,0,0,0
35,120,3,60.0,7313,1,2,0,1,1,0,0,23,4,4,3,5,9,5,2005,2005,4,2,4,5,2,246.0,3,3,5,4,3,1,6,1153,5,0,408,1561,5,4,1,5,1561,0,0,1561,1,0,2,0,2,1,3,6,6,1,4,5,2005.0,3,2,556,3,5,2,203,47,0,0,0,0,0,4,3,0,8,2007,4,4,277500,0,0,0
36,60,3,108.0,13418,1,2,0,1,1,0,0,23,4,4,4,6,8,5,2004,2005,1,2,11,12,4,132.0,2,3,5,4,3,3,5,0,5,0,1117,1117,5,4,1,5,1132,1320,0,2452,0,0,3,1,4,1,2,9,6,1,4,6,2004.0,3,3,691,3,5,2,113,32,0,0,0,0,0,4,3,0,9,2006,4,4,309000,0,0,0
37,20,3,112.0,10859,1,2,0,1,1,2,0,16,4,4,4,5,5,5,1994,1995,1,2,11,12,1,0.0,1,3,5,3,3,1,5,0,5,0,1097,1097,5,4,1,5,1097,0,0,1097,0,0,1,1,3,1,1,6,6,0,1,5,1995.0,1,2,672,3,5,2,392,64,0,0,0,0,0,4,3,0,6,2009,4,4,145000,0,0,0
38,20,3,74.0,8532,1,2,0,1,1,0,0,10,4,4,4,5,5,6,1954,1990,4,2,5,4,2,650.0,1,3,2,2,3,1,1,1213,5,0,84,1297,5,3,1,5,1297,0,0,1297,0,1,1,0,3,1,1,5,6,1,3,5,1954.0,3,2,498,3,5,2,0,0,0,0,0,0,0,4,3,0,10,2009,4,4,153000,0,0,0
39,20,3,68.0,7922,1,2,0,1,1,0,0,10,4,4,4,5,5,7,1953,2007,1,2,11,12,1,0.0,1,2,2,2,3,1,6,731,5,0,326,1057,5,2,1,5,1057,0,0,1057,1,0,1,0,3,1,2,5,6,0,1,2,1953.0,1,1,246,3,5,2,0,52,0,0,0,0,0,4,3,0,1,2010,4,1,109000,0,0,0
40,90,3,65.0,6040,1,2,0,1,1,0,0,4,4,4,1,5,4,5,1955,1955,1,2,3,10,1,0.0,1,3,5,0,1,0,0,0,0,0,0,0,5,2,0,1,1152,0,0,1152,0,0,2,0,2,2,0,6,6,0,1,0,1980.0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,0,6,2008,4,0,82000,0,0,1
41,20,3,84.0,8658,1,2,0,1,1,0,0,10,4,4,4,5,6,5,1965,1965,1,2,5,4,2,101.0,1,3,2,2,3,1,1,643,5,0,445,1088,5,4,1,5,1324,0,0,1324,0,0,2,0,3,1,1,6,6,1,3,5,1965.0,2,2,440,3,5,2,0,138,0,0,0,0,0,1,3,0,12,2006,4,1,160000,0,0,0
42,20,3,115.0,16905,1,2,0,1,1,0,0,21,4,4,4,5,5,6,1959,1959,1,2,11,12,1,0.0,1,2,2,2,3,4,2,967,5,0,383,1350,5,3,1,5,1328,0,0,1328,0,1,1,1,2,1,1,5,6,2,4,5,1959.0,2,1,308,3,5,1,0,104,0,0,0,0,0,4,3,0,7,2007,4,4,170000,0,0,0
43,85,3,69.0,9180,1,2,1,1,1,4,0,12,4,4,4,1,5,7,1983,1983,1,2,8,9,1,0.0,1,3,2,3,3,3,4,747,2,93,0,840,5,3,1,5,884,0,0,884,1,0,1,0,2,1,2,5,6,0,1,5,1983.0,2,2,504,3,4,2,240,0,0,0,0,0,0,2,3,0,12,2007,4,4,144000,1,0,0
44,20,3,69.0,9200,1,2,1,1,1,4,0,16,4,4,4,5,5,6,1975,1980,4,2,11,12,1,0.0,1,3,2,3,3,3,3,280,1,491,167,938,5,2,1,5,938,0,0,938,1,0,1,0,3,1,1,5,6,0,1,2,1977.0,1,1,308,3,5,2,145,0,0,0,0,0,0,2,3,0,7,2008,4,4,130250,1,0,0
45,20,3,70.0,7945,1,2,0,1,1,0,0,10,4,4,4,5,5,6,1959,1959,1,2,10,4,1,0.0,1,3,2,2,3,1,4,179,1,506,465,1150,5,4,1,3,1150,0,0,1150,1,0,1,0,3,1,1,6,6,0,1,5,1959.0,2,1,300,3,5,2,0,0,0,0,0,0,0,4,3,0,5,2006,4,4,141000,0,0,0
46,120,3,61.0,7658,1,2,0,1,1,0,0,23,4,4,3,5,9,5,2005,2005,4,2,4,5,2,412.0,3,3,5,4,3,1,6,456,5,0,1296,1752,5,4,1,5,1752,0,0,1752,1,0,2,0,2,1,3,6,6,1,4,5,2005.0,2,2,576,3,5,2,196,82,0,0,0,0,0,4,3,0,2,2010,4,4,319900,0,0,0
47,50,3,48.0,12822,1,2,1,1,1,4,0,11,4,4,4,2,7,5,2003,2003,1,2,11,12,1,0.0,2,3,5,4,3,1,6,1351,5,0,83,1434,5,4,1,5,1518,631,0,2149,1,0,1,1,1,1,2,6,6,1,5,5,2003.0,2,2,670,3,5,2,168,43,0,0,198,0,0,4,3,0,8,2009,4,1,239686,0,0,0
48,20,4,84.0,11096,1,2,0,1,1,0,0,19,4,4,4,5,8,5,2006,2006,1,2,11,12,1,0.0,2,3,5,3,3,3,6,24,5,0,1632,1656,5,4,1,5,1656,0,0,1656,0,0,2,0,3,1,2,7,6,0,1,5,2006.0,2,3,826,3,5,2,0,146,0,0,0,0,0,4,3,0,7,2007,4,4,249700,0,0,0
49,190,1,33.0,4456,1,2,0,1,1,0,0,5,4,4,0,6,4,5,1920,2008,1,2,4,5,1,0.0,1,3,1,2,3,1,5,0,5,0,736,736,5,3,1,5,736,716,0,1452,0,0,2,0,2,3,1,8,6,0,1,0,1980.0,0,0,0,1,0,0,0,0,102,0,0,0,0,4,3,0,6,2009,8,5,113000,0,0,1
50,20,3,66.0,7742,1,2,0,1,1,0,0,6,4,4,4,5,5,7,1966,1966,1,2,8,9,1,0.0,1,3,2,2,3,1,2,763,5,0,192,955,5,4,1,5,955,0,0,955,1,0,1,0,3,1,1,6,6,0,1,5,1966.0,1,1,386,3,5,2,0,0,0,0,0,0,0,2,3,0,1,2007,4,4,127000,0,0,0
51,60,3,69.0,13869,1,2,3,1,1,2,0,14,4,4,4,6,6,6,1997,1997,1,2,11,12,1,0.0,1,3,5,3,3,3,6,182,5,0,612,794,5,3,1,5,794,676,0,1470,0,1,2,0,3,1,1,6,6,0,1,5,1997.0,3,2,388,3,5,2,0,75,0,0,0,0,0,4,3,0,7,2007,4,4,177000,1,0,0
52,50,1,52.0,6240,1,2,0,1,1,0,0,3,4,4,4,2,6,6,1934,1950,1,2,5,4,1,0.0,1,3,5,2,3,1,5,0,5,0,816,816,5,2,1,5,816,0,360,1176,0,0,1,0,3,1,1,6,6,1,4,2,1985.0,1,2,528,3,5,2,112,0,0,0,0,0,0,2,1,400,9,2006,4,4,114500,0,0,0
53,90,1,110.0,8472,0,2,3,0,1,2,1,1,6,4,1,5,5,5,1963,1963,1,2,5,4,1,0.0,0,3,2,3,3,4,3,104,4,712,0,816,5,2,0,5,816,0,0,816,1,0,1,0,2,1,1,5,6,0,1,1,1963.0,1,2,516,3,5,2,106,0,0,0,0,0,0,4,3,0,5,2010,4,4,110000,0,0,0
54,20,3,68.0,50271,1,2,1,2,1,0,0,20,4,4,4,5,9,5,1981,1987,1,7,6,8,1,0.0,2,3,2,4,3,4,6,1810,5,0,32,1842,5,3,1,5,1842,0,0,1842,2,0,0,1,0,1,2,5,6,1,4,5,1981.0,3,3,894,3,5,2,857,72,0,0,0,0,0,4,3,0,11,2006,4,4,385000,0,0,0
55,80,3,60.0,7134,1,2,0,0,1,0,1,10,4,4,4,4,5,5,1955,1955,1,2,4,5,1,0.0,1,3,2,2,3,1,4,384,5,0,0,384,5,2,1,5,1360,0,0,1360,0,0,1,0,3,1,1,6,3,1,3,2,1962.0,1,2,572,3,5,2,0,50,0,0,0,0,0,2,3,0,2,2007,4,4,130000,0,0,0
56,20,3,100.0,10175,1,2,1,1,1,0,0,10,4,4,4,5,6,5,1964,1964,1,2,8,10,2,272.0,1,3,2,2,3,1,2,490,5,0,935,1425,5,3,1,5,1425,0,0,1425,0,0,2,0,3,1,1,7,6,1,4,5,1964.0,2,2,576,3,5,2,0,0,0,407,0,0,0,4,3,0,7,2008,4,4,180500,0,0,0
57,160,4,24.0,2645,1,1,0,1,1,0,0,19,4,4,2,6,8,5,1999,2000,1,2,4,5,2,456.0,2,3,5,3,3,1,6,649,5,0,321,970,5,4,1,5,983,756,0,1739,1,0,2,1,3,1,2,7,6,0,1,5,1999.0,3,2,480,3,5,2,115,0,0,0,0,0,0,4,3,0,8,2009,4,1,172500,0,0,0
58,60,3,89.0,11645,1,2,1,1,1,2,0,16,4,4,4,6,7,5,2004,2004,1,2,11,12,1,0.0,2,3,5,3,3,1,5,0,5,0,860,860,5,4,1,5,860,860,0,1720,0,0,2,1,3,1,2,7,6,0,1,5,2004.0,2,2,565,3,5,2,0,70,0,0,0,0,0,4,3,0,8,2006,4,4,196500,0,0,0
59,60,3,66.0,13682,1,2,3,3,1,4,0,22,4,4,4,6,10,5,2006,2006,4,2,11,12,2,1031.0,3,3,5,4,3,4,5,0,5,0,1410,1410,5,4,1,5,1426,1519,0,2945,0,0,3,1,3,1,2,10,6,1,4,6,2006.0,3,3,641,3,5,2,192,0,37,0,0,0,0,4,3,0,10,2006,8,5,438780,0,0,0
60,20,3,60.0,7200,1,2,0,0,1,0,0,16,4,4,4,5,5,7,1972,1972,1,2,8,9,1,0.0,1,3,2,2,3,3,4,632,5,0,148,780,5,4,1,5,780,0,0,780,0,0,1,0,2,1,1,4,6,0,1,2,1973.0,1,1,352,3,5,2,196,0,0,0,0,0,0,2,3,0,1,2008,4,4,124900,0,0,0
61,20,3,63.0,13072,1,2,0,1,1,0,0,12,1,4,4,5,6,5,2004,2004,1,2,11,12,1,0.0,1,3,5,3,3,1,4,941,5,0,217,1158,5,4,1,5,1158,0,0,1158,1,0,1,1,3,1,2,5,6,0,1,2,2006.0,1,2,576,3,5,2,0,50,0,0,0,0,0,4,3,0,5,2006,8,5,158000,0,0,0
62,75,1,60.0,7200,1,2,0,1,1,0,0,1,4,4,4,3,5,7,1920,1996,1,2,4,5,1,0.0,1,3,1,2,2,1,5,0,5,0,530,530,5,2,0,5,581,530,0,1111,0,0,1,0,3,1,0,6,6,0,1,2,1935.0,1,1,288,3,5,0,0,0,144,0,0,0,0,4,3,0,3,2007,4,4,101000,0,0,0
63,120,3,44.0,6442,1,2,1,1,1,0,0,23,4,4,3,5,8,5,2006,2006,1,2,11,12,4,178.0,2,3,5,3,4,2,6,24,5,0,1346,1370,5,4,1,5,1370,0,0,1370,0,0,2,0,2,1,2,6,6,1,4,5,2006.0,2,2,484,3,5,2,120,49,0,0,0,0,0,4,3,0,10,2007,4,4,202500,0,0,0
64,70,1,50.0,10300,1,2,1,0,1,0,0,5,3,2,4,6,7,6,1921,1950,1,2,7,6,1,0.0,1,3,1,2,3,1,5,0,5,0,576,576,5,3,1,5,902,808,0,1710,0,0,2,0,3,1,1,9,6,0,1,2,1990.0,1,2,480,3,5,2,12,11,64,0,0,0,0,3,3,0,4,2010,4,4,140000,0,0,0
65,60,3,69.0,9375,1,2,0,1,1,0,0,16,4,4,4,6,7,5,1997,1998,1,2,11,12,2,573.0,1,3,5,3,3,1,6,739,5,0,318,1057,5,4,1,5,1057,977,0,2034,1,0,2,1,3,1,2,8,6,0,1,5,1998.0,2,2,645,3,5,2,576,36,0,0,0,0,0,3,3,0,2,2009,4,4,219500,1,0,0
66,60,3,76.0,9591,1,2,0,1,1,0,0,23,4,4,4,6,8,5,2004,2005,1,2,11,12,2,344.0,2,3,5,4,3,3,5,0,5,0,1143,1143,5,4,1,5,1143,1330,0,2473,0,0,2,1,4,1,2,9,6,1,4,6,2004.0,2,3,852,3,5,2,192,151,0,0,0,0,0,4,3,0,10,2007,4,4,317000,0,0,0
67,20,3,69.0,19900,1,2,0,1,1,0,0,10,8,4,4,5,7,5,1970,1989,1,2,9,10,2,287.0,1,3,2,3,3,4,6,912,5,0,1035,1947,5,2,1,5,2207,0,0,2207,1,0,2,0,3,1,1,7,3,1,4,5,1970.0,2,2,576,3,5,2,301,0,0,0,0,0,0,4,3,0,7,2010,4,4,180000,1,0,0
68,20,3,72.0,10665,1,2,1,1,1,0,0,16,4,4,4,5,7,5,2003,2003,1,2,11,12,2,167.0,2,3,5,3,3,3,6,1013,5,0,440,1453,5,4,1,5,1479,0,0,1479,1,0,2,0,3,1,2,7,6,0,1,5,2003.0,2,2,558,3,5,2,144,29,0,0,0,0,0,4,3,0,6,2007,4,4,226000,0,0,0
69,30,1,47.0,4608,1,2,0,1,1,2,0,5,0,4,4,5,4,6,1945,1950,1,2,4,5,1,0.0,1,2,2,2,3,1,5,0,5,0,747,747,5,2,1,5,747,0,0,747,0,0,1,0,2,1,1,4,6,0,1,5,1945.0,1,1,220,3,5,2,0,0,0,0,0,0,0,4,3,0,6,2010,4,4,80000,0,0,0
70,50,3,81.0,15593,1,2,0,1,1,2,0,18,4,4,4,2,7,4,1953,1953,1,2,10,1,1,0.0,2,3,2,2,3,1,2,603,5,0,701,1304,4,2,1,5,1304,983,0,2287,0,0,2,0,3,1,1,7,6,1,3,5,1953.0,3,2,667,3,5,2,0,21,114,0,0,0,0,4,3,0,7,2006,4,4,225000,0,0,0
